track_no,song_name,album,artist,genre
1,Music for a Sushi Restaurant,Harry's House,Harry Styles,Rock
2,Late Night Talking,Harry's House,Harry Styles,Pop
3,Grapejuice,Harry's House,Harry Styles,Hip Hop
4,As It Was,Harry's House,Harry Styles,Pop
5,Daylight,Harry's House,Harry Styles,Country
6,Little Freak,Harry's House,Harry Styles,Rock
7,Matilda,Harry's House,Harry Styles,Country
8,Cinema,Harry's House,Harry Styles,Pop
9,Daydreaming,Harry's House,Harry Styles,Country
10,Keep Driving,Harry's House,Harry Styles,Pop
11,Satellite,Harry's House,Harry Styles,Pop
12,Boyfriends,Harry's House,Harry Styles,Hip Hop
13,Love of My Life,Harry's House,Harry Styles,Country
