track_no,song_name,album,artist,genre
1,I Forgot That You Existed,Lover,Taylor Swift,Rock
2,Cruel Summer,Lover,Taylor Swift,Pop
3,Lover,Lover,Taylor Swift,Hip Hop
4,The Man,Lover,Taylor Swift,Pop
5,The Archer,Lover,Taylor Swift,Country
6,I Think He Knows,Lover,Taylor Swift,Rock
7,Miss Americana & the Heartbreak Prince,Lover,Taylor Swift,Country
8,Paper Rings,Lover,Taylor Swift,Pop
9,Cornelia Street,Lover,Taylor Swift,Country
10,Death by a Thousand Cuts,Lover,Taylor Swift,Pop
11,London Boy,Lover,Taylor Swift,Pop
12,Soon You'll Get Better,Lover,Taylor Swift,Hip Hop
13,False God,Lover,Taylor Swift,Country
14,You Need to Calm Down,Lover,Taylor Swift,Pop
15,Afterglow,Lover,Taylor Swift,Rock
16,Me!,Lover,Taylor Swift,Pop
17,It's Nice to Have a Friend,Lover,Taylor Swift,Hip Hop
18,Daylight,Lover,Taylor Swift,Pop
