track_no,song_name,album,artist,genre
1,…Ready for It?,reputation,Taylor Swift,Rock
2,End Game,reputation,Taylor Swift,Pop
3,I Did Something Bad,reputation,Taylor Swift,Hip Hop
4,Don't Blame Me,reputation,Taylor Swift,Pop
5,Delicate,reputation,Taylor Swift,Country
6,Look What You Made Me Do,reputation,Taylor Swift,Rock
7,So It Goes…,reputation,Taylor Swift,Country
8,Gorgeous,reputation,Taylor Swift,Pop
9,Getaway Car,reputation,Taylor Swift,Country
10,King of My Heart,reputation,Taylor Swift,Pop
11,Dancing with Our Hands Tied,reputation,Taylor Swift,Pop
12,Dress,reputation,Taylor Swift,Hip Hop
13,This Is Why We Can't Have Nice Things,reputation,Taylor Swift,Pop
14,Call It What You Want,reputation,Taylor Swift,Pop
15,New Year's Day,reputation,Taylor Swift,Country
